Organism ID,Sequence ID,Organism,Barcode Layout,Barcode plate
12107038731,STY_0236,STY,D02,IDT-945+023
12205033232,STY_0237,STY,E02,IDT-945+023
12206003452,STY_0238,STY,F02,IDT-945+023
12206006202,STY_0239,STY,G02,IDT-945+023
22205008601,STY_0240,STY,H02,IDT-945+023
22205011321,STY_0241,STY,C08,COVIDSeq Set-1
12108043731,STY_0242,STY,D08,COVIDSeq Set-1
22107005511,STY_0243,STY,E08,COVIDSeq Set-1
12108023931,STY_0244,STY,F08,COVIDSeq Set-1
12105010661,STY_0245,STY,G08,COVIDSeq Set-1
12105018941,STY_0246,STY,H08,COVIDSeq Set-1
12105010811,STY_0247,STY,B12,COVIDSeq Set-1
22105006501,STY_0248,STY,C12,COVIDSeq Set-1
22106004841,STY_0249,STY,D12,COVIDSeq Set-1
22105006651,STY_0250,STY,E12,COVIDSeq Set-1
22106006941,STY_0251,STY,F12,COVIDSeq Set-1
M1L5,BSMRAU_M1L5,Leuconostoc mesenteroids,F09,IDT-1446944+945
M1L6,BSMRAU_M1L6,Leuconostoc citreum,A12,IDT-1446944+945
M1L13,BSMRAU_M1L13,Leuconostoc holzapfelii,E12,IDT-1446944+945
30A,BAU_30A,E.coli,D12,IDT-1446944+945
OM_12009006982,CHM,C.violaceum,A03,IDT-945+023
12205029061,SPN_0178_GPS_R,SPN,D1,IDT-15156265
12211037651,SPN_0205_GPS_R,SPN,D05,IDT-15156265
1014700_OM,SPN_0225_GPS_R,SPN,H8,IDT-15156265
1027360_OM,SPN_0228_GPS_R,SPN,B11,IDT-15156265
1016860_OM,SPN_0266_GPS_R,SPN,H08,IDT-1446944+945
1015890_OM,SPN_0267_GPS_R,SPN,A09,IDT-1446944+945
1015180_OM,SPN_0268_GPS_R,SPN,B09,IDT-1446944+945
1015900_OM,SPN_0269_GPS_R,SPN,C09,IDT-1446944+945
1016000_OM,SPN_0270_GPS_R,SPN,D09,IDT-1446944+945
OM_1041551,SPN_0279_GPS_R,SPN,D5,IDT-1446944+945
OM_1006800,SPN_0293_GPS_R,SPN,H06,IDT-15156265
